nameWithOwner,sshUrl,starsCount,releasesCount,ageInYears,loc,comments,cboMedian,ditMedian,lcomMedian
davemorrissey/subsampling-scale-image-view,git@github.com:davemorrissey/subsampling-scale-image-view.git,6985,21,8.038356164383561,14552,2679,3.5,1,0
ogaclejapan/SmartTabLayout,git@github.com:ogaclejapan/SmartTabLayout.git,6945,0,6.567123287671233,2749,674,4,1,1
hongyangAndroid/okhttputils,git@github.com:hongyangAndroid/okhttputils.git,6859,0,6.063013698630137,2892,327,2.5,1,0
google/android-classyshark,git@github.com:google/android-classyshark.git,6856,17,5.909589041095891,9524,2498,2,1,1
Qihoo360/RePlugin,git@github.com:Qihoo360/RePlugin.git,6852,17,4.252054794520548,32887,19102,3,1,0
apache/cassandra,git@github.com:apache/cassandra.git,6841,0,12.306849315068494,708966,126004,5,1,1
alibaba/otter,git@github.com:alibaba/otter.git,6775,10,8.084931506849315,83187,31506,3,1,1
dyc87112/SpringCloud-Learning,git@github.com:dyc87112/SpringCloud-Learning.git,6770,0,5.049315068493151,41424,6297,4,1,0
barteksc/AndroidPdfViewer,git@github.com:barteksc/AndroidPdfViewer.git,6737,0,5.265753424657534,3425,1074,1,1,0
kevin-wayne/algs4,git@github.com:kevin-wayne/algs4.git,6732,0,6.024657534246575,22006,27021,4,1,0
zhoutaoo/SpringCloud,git@github.com:zhoutaoo/SpringCloud.git,6722,0,4.1287671232876715,11708,1280,5,1,0
hongyangAndroid/AndroidAutoLayout,git@github.com:hongyangAndroid/AndroidAutoLayout.git,6717,0,5.8054794520547945,4136,314,5,2,8
goldze/MVVMHabit,git@github.com:goldze/MVVMHabit.git,6644,3,4.134246575342465,10390,3471,2,1,0
DroidPluginTeam/DroidPlugin,git@github.com:DroidPluginTeam/DroidPlugin.git,6627,2,6.035616438356165,23954,6723,2,3,0
naman14/Timber,git@github.com:naman14/Timber.git,6610,5,6.243835616438356,26689,3536,3,1,0
KunMinX/Jetpack-MVVM-Best-Practice,git@github.com:KunMinX/Jetpack-MVVM-Best-Practice.git,6601,0,1.8547945205479452,7083,2537,3,1,0
abel533/Mapper,git@github.com:abel533/Mapper.git,6592,2,6.8,22894,12790,4,1,0
seven332/EhViewer,git@github.com:seven332/EhViewer.git,6574,97,7.323287671232877,58391,12373,4,1,1
yanzhenjie/AndPermission,git@github.com:yanzhenjie/AndPermission.git,6545,0,4.991780821917808,5196,2692,3,1,0
NLPchina/elasticsearch-sql,git@github.com:NLPchina/elasticsearch-sql.git,6492,165,7.043835616438356,112269,15193,5,1,6
uber/RIBs,git@github.com:uber/RIBs.git,6463,4,3.9315068493150687,23081,11882,3,1,0
Exrick/xmall,git@github.com:Exrick/xmall.git,6400,0,4.115068493150685,224670,36525,3,1,13
Angel-ML/angel,git@github.com:Angel-ML/angel.git,6383,19,4.372602739726028,268062,63207,5,2,0
apache/dolphinscheduler,git@github.com:apache/dolphinscheduler.git,6374,17,2.5232876712328767,150401,53557,4,1,1
zendesk/android-floating-action-button,git@github.com:zendesk/android-floating-action-button.git,6343,0,6.972602739726027,1370,16,3,1,0
yuanguangxin/LeetCode,git@github.com:yuanguangxin/LeetCode.git,6292,0,1.6575342465753424,3273,378,1,1,0
koush/ion,git@github.com:koush/ion.git,6281,0,8.301369863013699,10386,2450,3,1,0
apache/storm,git@github.com:apache/storm.git,6270,0,7.843835616438356,373205,85941,3,1,1
vinc3m1/RoundedImageView,git@github.com:vinc3m1/RoundedImageView.git,6242,19,8.545205479452054,1739,312,9,2,0
json-path/JsonPath,git@github.com:json-path/JsonPath.git,6226,7,10.627397260273973,16187,3310,3.5,1,0
GrenderG/Toasty,git@github.com:GrenderG/Toasty.git,6225,19,4.638356164383562,781,81,3,1,0
lenve/VBlog,git@github.com:lenve/VBlog.git,6208,0,3.7013698630136984,6599,311,4,1,1
checkstyle/checkstyle,git@github.com:checkstyle/checkstyle.git,6207,107,8.024657534246575,365690,210562,0,0,0
spring-projects/spring-security,git@github.com:spring-projects/spring-security.git,6198,74,9.663013698630136,238298,116685,5,1,0
wildfirechat/server,git@github.com:wildfirechat/server.git,6198,48,2.6246575342465754,84197,17040,4,1,1
Meituan-Dianping/walle,git@github.com:Meituan-Dianping/walle.git,6187,1,4.66027397260274,5430,3261,2,1,0.5
k9mail/k-9,git@github.com:k9mail/k-9.git,6171,111,10.597260273972603,175067,10123,3,1,0
markzhai/AndroidPerformanceMonitor,git@github.com:markzhai/AndroidPerformanceMonitor.git,6161,0,5.6438356164383565,2678,645,3,1,0
ionic-team/capacitor,git@github.com:ionic-team/capacitor.git,6149,63,3.802739726027397,21420,3872,3,1,3
google/closure-compiler,git@github.com:google/closure-compiler.git,6133,0,7.4,526828,397931,5,1,1
ikew0ng/SwipeBackLayout,git@github.com:ikew0ng/SwipeBackLayout.git,6122,0,8.04109589041096,1771,838,3,1,3
rengwuxian/MaterialEditText,git@github.com:rengwuxian/MaterialEditText.git,6102,19,6.86027397260274,3851,901,2,1,0
flyway/flyway,git@github.com:flyway/flyway.git,6094,109,8.736986301369862,32206,16615,5,1,1
zo0r/react-native-push-notification,git@github.com:zo0r/react-native-push-notification.git,6080,34,5.736986301369863,3306,332,4,1,0
guardianproject/haven,git@github.com:guardianproject/haven.git,6065,37,4.523287671232877,20655,3545,4,1,1
rey5137/material,git@github.com:rey5137/material.git,6063,10,6.750684931506849,28701,4257,3,1,1
pedrovgs/EffectiveAndroidUI,git@github.com:pedrovgs/EffectiveAndroidUI.git,6061,0,7.183561643835616,2964,1632,3,1,1
google/physical-web,git@github.com:google/physical-web.git,6037,17,6.942465753424657,16603,5525,3,1,0
TechEmpower/FrameworkBenchmarks,git@github.com:TechEmpower/FrameworkBenchmarks.git,6014,15,8.468493150684932,128467,17689,4,1,0
processing/processing,git@github.com:processing/processing.git,5983,48,8.621917808219179,102517,54318,2,1,0
NLPchina/ansj_seg,git@github.com:NLPchina/ansj_seg.git,5980,3,9.01095890410959,14703,3112,4,1,0
smuyyh/BookReader,git@github.com:smuyyh/BookReader.git,5964,0,5.098630136986301,35272,11577,2,1,0
antoniolg/androidmvp,git@github.com:antoniolg/androidmvp.git,5956,0,7.438356164383562,1019,128,2,1,0
singwhatiwanna/dynamic-load-apk,git@github.com:singwhatiwanna/dynamic-load-apk.git,5946,0,7.446575342465754,3554,804,3,1,0
zouzg/mybatis-generator-gui,git@github.com:zouzg/mybatis-generator-gui.git,5939,16,5.3342465753424655,3659,301,5,1,3
daimajia/NumberProgressBar,git@github.com:daimajia/NumberProgressBar.git,5936,3,7.358904109589041,635,93,0.5,1,0
aa112901/remusic,git@github.com:aa112901/remusic.git,5912,0,5.46027397260274,47644,7588,3,1,0
li-xiaojun/XPopup,git@github.com:li-xiaojun/XPopup.git,5904,155,2.7534246575342465,12892,2292,3,1,0
wyouflf/xUtils3,git@github.com:wyouflf/xUtils3.git,5900,9,5.865753424657535,12736,2189,3,1,2
Graylog2/graylog2-server,git@github.com:Graylog2/graylog2-server.git,5835,28,11.315068493150685,370634,100945,6,1,1
react-native-video/react-native-video,git@github.com:react-native-video/react-native-video.git,5829,5,6.443835616438356,8946,842,3,1,1
google/j2objc,git@github.com:google/j2objc.git,5820,39,7.605479452054794,1005665,735938,2,1,0
AsyncHttpClient/async-http-client,git@github.com:AsyncHttpClient/async-http-client.git,5813,0,10.512328767123288,34003,9861,4,1,1
guardianproject/haven,git@github.com:guardianproject/haven.git,6065,37,4.523287671232877,20655,3545,4,1,1
rey5137/material,git@github.com:rey5137/material.git,6063,10,6.750684931506849,28701,4257,3,1,1
pedrovgs/EffectiveAndroidUI,git@github.com:pedrovgs/EffectiveAndroidUI.git,6061,0,7.183561643835616,2964,1632,3,1,1
NanoHttpd/nanohttpd,git@github.com:NanoHttpd/nanohttpd.git,6044,3,9.07945205479452,9206,3913,3,1,1
google/physical-web,git@github.com:google/physical-web.git,6037,17,6.942465753424657,16603,5525,3,1,0
TechEmpower/FrameworkBenchmarks,git@github.com:TechEmpower/FrameworkBenchmarks.git,6014,15,8.468493150684932,128467,17689,4,1,0
processing/processing,git@github.com:processing/processing.git,5983,48,8.621917808219179,102517,54318,2,1,0
NLPchina/ansj_seg,git@github.com:NLPchina/ansj_seg.git,5980,3,9.01095890410959,14703,3112,4,1,0
smuyyh/BookReader,git@github.com:smuyyh/BookReader.git,5964,0,5.098630136986301,35272,11577,2,1,0
antoniolg/androidmvp,git@github.com:antoniolg/androidmvp.git,5956,0,7.438356164383562,1019,128,2,1,0
singwhatiwanna/dynamic-load-apk,git@github.com:singwhatiwanna/dynamic-load-apk.git,5946,0,7.446575342465754,3554,804,3,1,0
zouzg/mybatis-generator-gui,git@github.com:zouzg/mybatis-generator-gui.git,5939,16,5.3342465753424655,3659,301,5,1,3
daimajia/NumberProgressBar,git@github.com:daimajia/NumberProgressBar.git,5936,3,7.358904109589041,635,93,0.5,1,0
aa112901/remusic,git@github.com:aa112901/remusic.git,5912,0,5.46027397260274,47644,7588,3,1,0
li-xiaojun/XPopup,git@github.com:li-xiaojun/XPopup.git,5904,155,2.7534246575342465,12892,2292,3,1,0
wyouflf/xUtils3,git@github.com:wyouflf/xUtils3.git,5900,9,5.865753424657535,12736,2189,3,1,2
Graylog2/graylog2-server,git@github.com:Graylog2/graylog2-server.git,5835,28,11.315068493150685,370634,100945,6,1,1
react-native-video/react-native-video,git@github.com:react-native-video/react-native-video.git,5829,5,6.443835616438356,8946,842,3,1,1
google/j2objc,git@github.com:google/j2objc.git,5820,39,7.605479452054794,1005665,735938,2,1,0
AsyncHttpClient/async-http-client,git@github.com:AsyncHttpClient/async-http-client.git,5813,0,10.512328767123288,34003,9861,4,1,1
springside/springside4,git@github.com:springside/springside4.git,5805,3,9.545205479452054,14215,5427,2,1,1
cryptomator/cryptomator,git@github.com:cryptomator/cryptomator.git,5758,110,7.6,18349,1742,7,1,1
ityouknow/spring-cloud-examples,git@github.com:ityouknow/spring-cloud-examples.git,5749,0,4.364383561643836,4372,79,4,1,0
JakeWharton/u2020,git@github.com:JakeWharton/u2020.git,5734,0,7.8191780821917805,7139,826,4,1,0.5
Nightonke/BoomMenu,git@github.com:Nightonke/BoomMenu.git,5729,0,5.473972602739726,10147,1666,4,1,0
weibocom/motan,git@github.com:weibocom/motan.git,5719,16,5.3863013698630136,85978,46372,4,1,1
prolificinteractive/material-calendarview,git@github.com:prolificinteractive/material-calendarview.git,5719,22,6.578082191780822,5553,1229,4,1,0
Devlight/InfiniteCycleViewPager,git@github.com:Devlight/InfiniteCycleViewPager.git,5695,2,5.046575342465753,4107,614,3,2,0
google/error-prone,git@github.com:google/error-prone.git,5688,15,7.049315068493151,201890,55626,4,1,0
real-logic/aeron,git@github.com:real-logic/aeron.git,5671,77,7.586301369863014,214671,54173,4,1,0
daimajia/AndroidImageSlider,git@github.com:daimajia/AndroidImageSlider.git,5643,5,7.271232876712329,4304,993,2,1,1
nhaarman/ListViewAnimations,git@github.com:nhaarman/ListViewAnimations.git,5642,14,8.476712328767123,7672,3447,5,2,0
sohutv/cachecloud,git@github.com:sohutv/cachecloud.git,5639,5,5.619178082191781,177241,43534,2,1,0
Tencent/Shadow,git@github.com:Tencent/Shadow.git,5621,2,2.2383561643835614,34873,12364,3,1,0
JakeWharton/DiskLruCache,git@github.com:JakeWharton/DiskLruCache.git,5620,0,9.67945205479452,1921,457,2.5,1,3
react-native-svg/react-native-svg,git@github.com:react-native-svg/react-native-svg.git,5610,75,5.6438356164383565,22177,3684,4,2,4
wasabeef/richeditor-android,git@github.com:wasabeef/richeditor-android.git,5609,0,6.446575342465754,1837,267,2,1,0
sshahine/JFoenix,git@github.com:sshahine/JFoenix.git,5604,0,6.002739726027397,29716,8306,4,1,1
apache/tomcat,git@github.com:apache/tomcat.git,5575,0,9.942465753424658,405236,180361,3,1,1
ximsfei/Android-skin-support,git@github.com:ximsfei/Android-skin-support.git,5574,0,4.654794520547945,29874,2507,5,1,1
febsteam/FEBS-Shiro,git@github.com:febsteam/FEBS-Shiro.git,5565,0,3.4712328767123286,29071,2849,4.5,1,0
amlcurran/ShowcaseView,git@github.com:amlcurran/ShowcaseView.git,5562,13,9.07123287671233,2748,1176,5,1,0
joelittlejohn/jsonschema2pojo,git@github.com:joelittlejohn/jsonschema2pojo.git,5550,58,8.213698630136987,20910,7109,5,1,0
lets-blade/blade,git@github.com:lets-blade/blade.git,5549,9,6.249315068493151,17984,6508,3,1,0
hongyangAndroid/FlowLayout,git@github.com:hongyangAndroid/FlowLayout.git,5524,0,6.032876712328767,1460,64,3,1,0
dmytrodanylyk/circular-progress-button,git@github.com:dmytrodanylyk/circular-progress-button.git,5517,0,7.257534246575342,1571,20,2,1,0
emilsjolander/StickyListHeaders,git@github.com:emilsjolander/StickyListHeaders.git,5515,16,9.498630136986302,2679,308,3,1,0
apache/jmeter,git@github.com:apache/jmeter.git,5509,0,11.29041095890411,222363,84365,4,2,3
rabbitmq/rabbitmq-tutorials,git@github.com:rabbitmq/rabbitmq-tutorials.git,5503,0,10.96986301369863,11318,1345,5,1,1
k0shk0sh/FastHub,git@github.com:k0shk0sh/FastHub.git,5498,63,4.553424657534246,85076,3755,6,1,1
metersphere/metersphere,git@github.com:metersphere/metersphere.git,5496,95,1.5945205479452054,296024,9310,3,1,0
rest-assured/rest-assured,git@github.com:rest-assured/rest-assured.git,5494,0,10.887671232876713,51196,30596,5,1,0
liyifeng1994/ssm,git@github.com:liyifeng1994/ssm.git,5494,0,5.2246575342465755,824,187,2,1,1
alibaba/COLA,git@github.com:alibaba/COLA.git,5490,3,3.5863013698630137,10869,2330,3,1,0
knightliao/disconf,git@github.com:knightliao/disconf.git,5475,12,7.279452054794521,67260,15705,3,1,0
alibaba/freeline,git@github.com:alibaba/freeline.git,5473,22,5.098630136986301,12040,1437,2,1,1
facebookarchive/rebound,git@github.com:facebookarchive/rebound.git,5472,10,7.912328767123288,4519,1354,2,1,0
jpush/aurora-imui,git@github.com:jpush/aurora-imui.git,5469,42,4.736986301369863,31609,3834,2.5,1,0
sockeqwe/mosby,git@github.com:sockeqwe/mosby.git,5457,15,6.46027397260274,22817,10583,3,1,0
mrniko/netty-socketio,git@github.com:mrniko/netty-socketio.git,5444,3,9.66027397260274,6627,2619,3,1,0
dm77/barcodescanner,git@github.com:dm77/barcodescanner.git,5409,6,7.536986301369863,3595,163,2,1,0
jgilfelt/SystemBarTint,git@github.com:jgilfelt/SystemBarTint.git,5402,3,7.810958904109589,906,369,7,2,1
apache/zeppelin,git@github.com:apache/zeppelin.git,5388,0,6.46027397260274,269683,56404,3,1,1
evant/gradle-retrolambda,git@github.com:evant/gradle-retrolambda.git,5384,37,8.095890410958905,2806,284,3,1,0
lightbend/config,git@github.com:lightbend/config.git,5378,0,9.761643835616438,20724,5819,3,1,0
evernote/android-job,git@github.com:evernote/android-job.git,5375,31,6.054794520547945,11779,3263,4,1,1
wxiaoqi/Spring-Cloud-Platform,git@github.com:wxiaoqi/Spring-Cloud-Platform.git,5342,3,4.2904109589041095,10677,4170,3,1,0
haifengl/smile,git@github.com:haifengl/smile.git,5336,22,6.802739726027397,140693,82640,5,1,1
bytedeco/javacv,git@github.com:bytedeco/javacv.git,5329,7,7.3863013698630136,44973,5295,4,1,1
springfox/springfox,git@github.com:springfox/springfox.git,5327,12,9.345205479452055,77057,22393,3,1,0
debezium/debezium,git@github.com:debezium/debezium.git,5324,0,5.627397260273972,166091,42226,4,1,1
languagetool-org/languagetool,git@github.com:languagetool-org/languagetool.git,5324,0,8.087671232876712,845175,94757,4,1,1
robolectric/robolectric,git@github.com:robolectric/robolectric.git,5315,75,11.035616438356165,197375,32190,4,1,0
amitshekhariitbhu/Fast-Android-Networking,git@github.com:amitshekhariitbhu/Fast-Android-Networking.git,5295,8,5.468493150684932,17581,4197,2,1,1
lucasr/twoway-view,git@github.com:lucasr/twoway-view.git,5272,0,8.638356164383561,3569,714,4,1,1
XRecyclerView/XRecyclerView,git@github.com:XRecyclerView/XRecyclerView.git,5262,0,5.808219178082192,5429,450,2,1,0
hanks-zyh/HTextView,git@github.com:hanks-zyh/HTextView.git,5258,0,5.723287671232876,3891,242,2,1,0
MindorksOpenSource/from-java-to-kotlin,git@github.com:MindorksOpenSource/from-java-to-kotlin.git,5249,0,4.301369863013699,46,0,0.5,1,0
yixia/VitamioBundle,git@github.com:yixia/VitamioBundle.git,5233,0,8.89041095890411,6247,2339,3,1,0
commonsguy/cw-omnibus,git@github.com:commonsguy/cw-omnibus.git,5229,36,9.495890410958904,229693,38994,3,1,0
Alluxio/alluxio,git@github.com:Alluxio/alluxio.git,5220,48,8.717808219178082,273779,107739,5,1,1
testcontainers/testcontainers-java,git@github.com:testcontainers/testcontainers-java.git,5208,51,6.410958904109589,28055,6125,5,1,0
square/otto,git@github.com:square/otto.git,5207,0,9.202739726027398,2618,956,1,1,0
h2pl/Java-Tutorial,git@github.com:h2pl/Java-Tutorial.git,5204,0,3.356164383561644,65,6,0,1,0
pentaho/pentaho-kettle,git@github.com:pentaho/pentaho-kettle.git,5201,1,7.920547945205479,1176754,256134,2,1,0
changmingxie/tcc-transaction,git@github.com:changmingxie/tcc-transaction.git,5195,1,5.761643835616439,15081,1829,3,1,0
Clans/FloatingActionButton,git@github.com:Clans/FloatingActionButton.git,5190,14,6.471232876712329,3379,133,2,1,0
apache/incubator-shenyu,git@github.com:apache/incubator-shenyu.git,5184,3,3.1616438356164385,88367,55783,4,1,0
apache/dubbo-spring-boot-project,git@github.com:apache/dubbo-spring-boot-project.git,5177,13,3.638356164383562,5659,2823,6,1,0
graphql-java/graphql-java,git@github.com:graphql-java/graphql-java.git,5171,38,6.178082191780822,100487,10189,6,1,1
gzu-liyujiang/AndroidPicker,git@github.com:gzu-liyujiang/AndroidPicker.git,5169,39,5.884931506849315,14637,5840,2,1,0
Yalantis/Side-Menu.Android,git@github.com:Yalantis/Side-Menu.Android.git,5167,2,6.654794520547945,620,41,2,1,0
intuit/karate,git@github.com:intuit/karate.git,5152,43,4.583561643835616,50775,10855,4,1,0
h6ah4i/android-advancedrecyclerview,git@github.com:h6ah4i/android-advancedrecyclerview.git,5139,1,6.624657534246575,29355,9160,4,2,0
thinkaurelius/titan,git@github.com:thinkaurelius/titan.git,5139,0,9.536986301369863,205482,32012,4,1,1
motianhuo/wechat,git@github.com:motianhuo/wechat.git,5138,0,6.293150684931507,49063,5895,3,1,0
yanzhenjie/SwipeRecyclerView,git@github.com:yanzhenjie/SwipeRecyclerView.git,5123,0,5.098630136986301,13406,5832,3,1,0
wuhaoyu1990/MagicCamera,git@github.com:wuhaoyu1990/MagicCamera.git,5104,0,5.668493150684932,17292,1156,3,1,0
CameraKit/camerakit-android,git@github.com:CameraKit/camerakit-android.git,5099,17,4.780821917808219,10133,3410,2,1,0
JesusFreke/smali,git@github.com:JesusFreke/smali.git,5091,1,8.961643835616439,47699,25682,4,1,1
avast/android-butterknife-zelezny,git@github.com:avast/android-butterknife-zelezny.git,3434,8,7.712328767123288,2080,394,3,1,0
sofastack/sofa-rpc,git@github.com:sofastack/sofa-rpc.git,3411,39,3.4164383561643836,83163,41008,4,1,0
code4craft/tiny-spring,git@github.com:code4craft/tiny-spring.git,3408,0,7.663013698630137,2133,878,2,1,0
yigit/android-priority-jobqueue,git@github.com:yigit/android-priority-jobqueue.git,3408,0,7.221917808219178,14946,1805,3,1,0
google/rejoiner,git@github.com:google/rejoiner.git,3400,3,3.756164383561644,8068,1521,5,1,0
crossoverJie/SSM,git@github.com:crossoverJie/SSM.git,3380,10,5.2164383561643834,104142,29359,2,1,2
ivacf/archi,git@github.com:ivacf/archi.git,3373,0,5.994520547945205,3446,65,3.5,1,0
Exrick/xboot,git@github.com:Exrick/xboot.git,3368,6,3.378082191780822,17177,5803,6,1,0
oracle/opengrok,git@github.com:oracle/opengrok.git,3366,184,8.67123287671233,104811,48006,3,1,1
LWJGL/lwjgl3,git@github.com:LWJGL/lwjgl3.git,3350,14,8.712328767123287,1004815,512221,7,4,55
mock-server/mockserver,git@github.com:mock-server/mockserver.git,3348,0,8.534246575342467,151548,12898,6,1,1
mcxtzhang/SwipeDelMenuLayout,git@github.com:mcxtzhang/SwipeDelMenuLayout.git,3341,2,5.038356164383561,1440,336,2,1,0
alamkanak/Android-Week-View,git@github.com:alamkanak/Android-Week-View.git,3328,4,6.978082191780822,2156,586,2,1,0
actorapp/actor-platform,git@github.com:actorapp/actor-platform.git,3314,97,6.219178082191781,270135,48967,3,1,0
ethanhua/Skeleton,git@github.com:ethanhua/Skeleton.git,3313,0,4.109589041095891,1642,96,3,1,0
graphhopper/graphhopper,git@github.com:graphhopper/graphhopper.git,3313,33,9.558904109589042,112667,26718,4,1,0
abel533/MyBatis-Spring-Boot,git@github.com:abel533/MyBatis-Spring-Boot.git,3309,0,5.723287671232876,3599,651,4.5,1,0
j-easy/easy-rules,git@github.com:j-easy/easy-rules.git,3307,10,8.501369863013698,6877,4752,4,1,1
jeremylong/DependencyCheck,git@github.com:jeremylong/DependencyCheck.git,3301,19,9.013698630136986,116315,54476,5,2,3
googlemaps/android-maps-utils,git@github.com:googlemaps/android-maps-utils.git,3297,22,8.315068493150685,15586,8267,5,1,1
jboss-javassist/javassist,git@github.com:jboss-javassist/javassist.git,3272,18,8.295890410958904,88174,22538,1,1,0
iammert/ScalingLayout,git@github.com:iammert/ScalingLayout.git,3264,4,3.936986301369863,986,138,2,1,0
linkedin/databus,git@github.com:linkedin/databus.git,3262,0,8.728767123287671,149774,35905,3,1,0
rubensousa/PreviewSeekBar,git@github.com:rubensousa/PreviewSeekBar.git,3256,7,4.619178082191781,1885,491,2,1,0
tangqi92/Android-Tips,git@github.com:tangqi92/Android-Tips.git,3244,0,5.997260273972603,185,22,0,1,1
google/data-transfer-project,git@github.com:google/data-transfer-project.git,3236,38,3.673972602739726,35333,10710,3,1,0
ittianyu/BottomNavigationViewEx,git@github.com:ittianyu/BottomNavigationViewEx.git,3222,19,4.821917808219178,2084,572,3,1,0
ragunathjawahar/android-saripaar,git@github.com:ragunathjawahar/android-saripaar.git,3221,3,9.002739726027396,8231,5396,3,2,0
hmkcode/Android,git@github.com:hmkcode/Android.git,3220,0,8.01917808219178,7987,602,5,2,1
bauerca/drag-sort-listview,git@github.com:bauerca/drag-sort-listview.git,3220,0,9.273972602739725,4858,1603,2,1,0
java-aodeng/hope-boot,git@github.com:java-aodeng/hope-boot.git,3218,2,2.893150684931507,165330,34507,4,1,0
bilibili/boxing,git@github.com:bilibili/boxing.git,3210,1,4.627397260273972,7071,2443,4,1,1
chrisbanes/ActionBar-PullToRefresh,git@github.com:chrisbanes/ActionBar-PullToRefresh.git,3198,0,8.265753424657534,4501,2553,5,2,1
JSQLParser/JSqlParser,git@github.com:JSQLParser/JSqlParser.git,3195,25,10.213698630136987,43801,11591,4,1,3
traccar/traccar,git@github.com:traccar/traccar.git,3190,34,9.4,74962,17260,4,2,0
yangfuhai/afinal,git@github.com:yangfuhai/afinal.git,3188,0,8.895890410958904,7047,4589,2,1,0
daimajia/AndroidViewHover,git@github.com:daimajia/AndroidViewHover.git,3180,4,7.087671232876712,959,42,2,1,1
crate/crate,git@github.com:crate/crate.git,3171,31,8.416438356164383,489714,148443,5,1,1
zzz40500/GsonFormat,git@github.com:zzz40500/GsonFormat.git,3170,4,6.857534246575343,5406,1800,1,1,0
spring-cloud/spring-cloud-gateway,git@github.com:spring-cloud/spring-cloud-gateway.git,3165,0,4.808219178082192,26594,8506,6,1,0
andOTP/andOTP,git@github.com:andOTP/andOTP.git,3143,38,4.178082191780822,38263,2392,3,1,0
jfinal/jfinal,git@github.com:jfinal/jfinal.git,3142,0,9.375342465753425,31920,15838,3,1,1
hitherejoe/animate,git@github.com:hitherejoe/animate.git,3142,0,5.813698630136987,3779,186,6,2,1
facebookarchive/network-connection-class,git@github.com:facebookarchive/network-connection-class.git,3138,2,6.47945205479452,710,232,2.5,1,0
amulyakhare/TextDrawable,git@github.com:amulyakhare/TextDrawable.git,3126,0,6.890410958904109,887,43,3,1,0
airbnb/native-navigation,git@github.com:airbnb/native-navigation.git,3124,0,4.978082191780822,10196,1018,3,1,0
chenBingX/SuperTextView,git@github.com:chenBingX/SuperTextView.git,3124,30,4.394520547945206,23424,5421,2,1,0
remkop/picocli,git@github.com:remkop/picocli.git,3123,76,4.6,303462,36532,2,1,0
Skykai521/StickerCamera,git@github.com:Skykai521/StickerCamera.git,3096,0,6.1808219178082195,17652,5510,2,1,0
alibaba/cobar,git@github.com:alibaba/cobar.git,3095,1,7.64931506849315,76551,23370,3,1,1
google/volley,git@github.com:google/volley.git,3088,9,4.6219178082191785,10108,4089,2,1,0
danylovolokh/VideoPlayerManager,git@github.com:danylovolokh/VideoPlayerManager.git,3087,0,6.167123287671233,4981,617,3,1,0
Col-E/Recaf,git@github.com:Col-E/Recaf.git,3079,155,4.117808219178082,36671,15178,7,2,1
liujingxing/rxhttp,git@github.com:liujingxing/rxhttp.git,3075,19,2.6246575342465754,13916,2518,6,1,3
hongyangAndroid/Highlight,git@github.com:hongyangAndroid/Highlight.git,3070,0,5.920547945205479,1331,506,2,1,0
gabrielemariotti/RecyclerViewItemAnimators,git@github.com:gabrielemariotti/RecyclerViewItemAnimators.git,3070,0,7.049315068493151,2267,739,3,1,1
eleme/UETool,git@github.com:eleme/UETool.git,3059,8,3.315068493150685,4526,73,4,1,0
JeremyLiao/LiveEventBus,git@github.com:JeremyLiao/LiveEventBus.git,3057,0,3.1616438356164385,9997,1171,2,1,0
zwwill/yanxuan-weex-demo,git@github.com:zwwill/yanxuan-weex-demo.git,3056,0,4.008219178082192,NaN,NaN,0,1,0
requery/requery,git@github.com:requery/requery.git,3053,43,5.8191780821917805,34608,11811,3,1,0
keyboardsurfer/Crouton,git@github.com:keyboardsurfer/Crouton.git,3052,8,9.101369863013698,1578,1140,5,1,1
kunal-kushwaha/DSA-Bootcamp-Java,git@github.com:kunal-kushwaha/DSA-Bootcamp-Java.git,3051,0,0.10684931506849316,2685,465,1,1,1
jgilfelt/android-viewbadger,git@github.com:jgilfelt/android-viewbadger.git,3038,0,9.95068493150685,928,165,2,1,0
apache/incubator-doris,git@github.com:apache/incubator-doris.git,3030,8,4.079452054794521,533122,136293,4,1,0
undertow-io/undertow,git@github.com:undertow-io/undertow.git,3024,0,9.142465753424657,150735,48468,3,1,0
anggrayudi/android-hidden-api,git@github.com:anggrayudi/android-hidden-api.git,3013,1,5.980821917808219,919,427,8.5,1,0.5
zhou-you/RxEasyHttp,git@github.com:zhou-you/RxEasyHttp.git,3011,0,4.254794520547946,12330,5053,3,1,0
pedrovgs/DraggablePanel,git@github.com:pedrovgs/DraggablePanel.git,3010,10,7.4082191780821915,2882,1710,4,1,1
xmuSistone/ViewpagerTransition,git@github.com:xmuSistone/ViewpagerTransition.git,3009,1,4.96986301369863,1050,107,2,2,0
facebookarchive/react-native-fbsdk,git@github.com:facebookarchive/react-native-fbsdk.git,3003,22,6.101369863013699,3299,2418,5.5,2,1
lovetuzitong/MultiImageSelector,git@github.com:lovetuzitong/MultiImageSelector.git,3001,2,6.421917808219178,1861,165,3,1,0
fishercoder1534/Leetcode,git@github.com:fishercoder1534/Leetcode.git,2999,0,5.1068493150684935,74214,5453,1,1,0
KingJA/LoadSir,git@github.com:KingJA/LoadSir.git,2998,6,4.016438356164383,2524,368,3,1.5,0
uber/NullAway,git@github.com:uber/NullAway.git,2995,0,4.019178082191781,18759,5418,1,1,0
woxingxiao/BubbleSeekBar,git@github.com:woxingxiao/BubbleSeekBar.git,2994,12,4.846575342465753,2529,243,2,1,1
dmytrodanylyk/android-process-button,git@github.com:dmytrodanylyk/android-process-button.git,2994,1,7.353424657534247,1137,136,4.5,2,1
